config,status,val_metrics
"{'exp_id': 1, 'model': 'distilbert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': False}",success,"{'Mistake_Identification': {'exact_acc': 0.8911290322580645, 'exact_f1': 0.6744444444444445, 'lenient_acc': 0.9516129032258065, 'lenient_f1': 0.9716981132075472}, 'Mistake_Location': {'exact_acc': 0.7540322580645161, 'exact_f1': 0.587864552750049, 'lenient_acc': 0.8588709677419355, 'lenient_f1': 0.9041095890410958}, 'Providing_Guidance': {'exact_acc': 0.6895161290322581, 'exact_f1': 0.49631608776617275, 'lenient_acc': 0.8387096774193549, 'lenient_f1': 0.900990099009901}, 'Actionability': {'exact_acc': 0.7338709677419355, 'exact_f1': 0.6269578320300618, 'lenient_acc': 0.842741935483871, 'lenient_f1': 0.8828828828828829}}"
"{'exp_id': 2, 'model': 'bert-base-uncased', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': False}",success,"{'Mistake_Identification': {'exact_acc': 0.875, 'exact_f1': 0.6038175417356951, 'lenient_acc': 0.9435483870967742, 'lenient_f1': 0.9675925925925926}, 'Mistake_Location': {'exact_acc': 0.7338709677419355, 'exact_f1': 0.5699430740037951, 'lenient_acc': 0.8185483870967742, 'lenient_f1': 0.8787061994609164}, 'Providing_Guidance': {'exact_acc': 0.657258064516129, 'exact_f1': 0.4956465322134487, 'lenient_acc': 0.8145161290322581, 'lenient_f1': 0.8838383838383839}, 'Actionability': {'exact_acc': 0.7379032258064516, 'exact_f1': 0.5872433169901888, 'lenient_acc': 0.8629032258064516, 'lenient_f1': 0.8982035928143712}}"
"{'exp_id': 3, 'model': 'roberta-base', 'strategy': 'single_task', 'loss': 'FocalLoss', 'remove_punct': False, 'remove_stopwords': False, 'include_history': False}",success,"{'Mistake_Identification': {'exact_acc': 0.875, 'exact_f1': 0.6608358988711633, 'lenient_acc': 0.9516129032258065, 'lenient_f1': 0.9716981132075472}, 'Mistake_Location': {'exact_acc': 0.75, 'exact_f1': 0.5853131579658553, 'lenient_acc': 0.8266129032258065, 'lenient_f1': 0.8871391076115486}, 'Providing_Guidance': {'exact_acc': 0.6935483870967742, 'exact_f1': 0.4619515311214916, 'lenient_acc': 0.8467741935483871, 'lenient_f1': 0.905940594059406}, 'Actionability': {'exact_acc': 0.75, 'exact_f1': 0.5542773673503724, 'lenient_acc': 0.8790322580645161, 'lenient_f1': 0.9137931034482759}}"
